Date,Ward 1 AQI,Ward 2 AQI,Ward 3 AQI,Ward 4 AQI,Ward 5 AQI,Ward 6 AQI,Ward 7 AQI,Ward 8 AQI
2022-05-14 20:00:00,,,11,,,,,
2022-05-15 20:00:00,,,11,,,,,
2022-05-16 20:00:00,,,13,,,,,
2022-05-17 20:00:00,,,10,,,,,
2022-05-18 20:00:00,,,22,,,,,
2022-05-19 20:00:00,,,27,,,,,
2022-05-20 20:00:00,,,26,,,,,
2022-05-21 20:00:00,,,17,,,,,
2022-05-22 20:00:00,,,12,,,,,
2022-05-23 20:00:00,,,13,,,,,
2022-05-24 20:00:00,,,26,,,,,
2022-05-25 20:00:00,,,14,,,,,
2022-05-26 20:00:00,,,9,,,,,
2022-05-27 20:00:00,,,5,,,,,
2022-05-28 20:00:00,,,9,,,,,
2022-05-29 20:00:00,,,39,,,,,
2022-05-30 20:00:00,,,30,,,,,
2022-05-31 20:00:00,,,28,,,,,
2022-06-01 20:00:00,,,25,,,,,
2022-06-02 20:00:00,,,25,,,,,
2022-06-03 20:00:00,,,10,,,,,
2022-06-04 20:00:00,,,6,,,,,
2022-06-05 20:00:00,,,4,,,,,
2022-06-06 20:00:00,,,10,,,,,
2022-06-07 20:00:00,,,18,,,,,
2022-06-08 20:00:00,,,10,,,,,
2022-06-09 20:00:00,,,5,,,,,
2022-06-10 20:00:00,,,18,,,,,
2022-06-11 20:00:00,,,24,,,,,
2022-06-12 20:00:00,,,21,,,,,
2022-06-13 20:00:00,,,25,,,,,
2022-06-14 20:00:00,,,23,,55,,,
2022-06-15 20:00:00,,,28,,49,,,
2022-06-16 20:00:00,,,21,,43,,,
2022-06-17 20:00:00,,,14,,18,,,
2022-06-18 20:00:00,,,7,,12,,,
2022-06-19 20:00:00,,,11,,23,,,
2022-06-20 20:00:00,,,8,,29,,,
2022-06-21 20:00:00,,,21,,63,,,
2022-06-22 20:00:00,,,10,,31,,,
2022-06-23 20:00:00,,,8,,44,,,
2022-06-24 20:00:00,,,15,,54,,,
2022-06-25 20:00:00,,,14,,43,,,
2022-06-26 20:00:00,,,23,,55,,,
2022-06-27 20:00:00,,,7,,16,,,
2022-06-28 20:00:00,,,7,,38,,,
2022-06-29 20:00:00,,,22,,60,,,
2022-06-30 20:00:00,,,22,,72,,,
2022-07-01 20:00:00,,,9,,45,,,
2022-07-02 20:00:00,,,16,,48,,,
2022-07-03 20:00:00,,,13,,61,,,
2022-07-04 20:00:00,,,45,,89,,,
2022-07-05 20:00:00,,,17,,44,,,
2022-07-06 20:00:00,,,16,,61,,,
2022-07-07 20:00:00,,,43,,60,,,
2022-07-08 20:00:00,,,22,,60,,,
2022-07-09 20:00:00,,,19,,62,,,
2022-07-10 20:00:00,,,14,,65,,,
2022-07-11 20:00:00,,,10,,55,,,
2022-07-12 20:00:00,,,14,,57,,,
2022-07-13 20:00:00,,,19,,59,,,
2022-07-14 20:00:00,,,25,,70,,,
2022-07-15 20:00:00,,,29,,75,,,
2022-07-16 20:00:00,,,19,,76,,,
2022-07-17 20:00:00,,,22,,62,,,
2022-07-18 20:00:00,,,15,,59,,,
2022-07-19 20:00:00,,,15,,68,,,
2022-07-20 20:00:00,,,21,,72,,,
2022-07-21 20:00:00,,,16,,75,,,
2022-07-22 20:00:00,,,22,,82,,,
2022-07-23 20:00:00,,,11,,67,,,
2022-07-24 20:00:00,,,28,,72,,,
2022-07-25 20:00:00,,,12,,54,,,
2022-07-26 20:00:00,,,17,,72,,,
2022-07-27 20:00:00,,,41,,60,,,
2022-07-28 20:00:00,,,17,,60,,,
2022-07-29 20:00:00,,,19,,50,,,
2022-07-30 20:00:00,,,38,,57,,,
2022-07-31 20:00:00,,,42,,59,,,
2022-08-01 20:00:00,,,35,,53,,,
2022-08-02 20:00:00,,,46,,57,,,
2022-08-03 20:00:00,,,54,,74,,,
2022-08-04 20:00:00,,,37,,59,,,
2022-08-05 20:00:00,,,20,,39,,,
2022-08-06 20:00:00,,,17,,28,,,
2022-08-07 20:00:00,,,23,,37,,,
2022-08-08 20:00:00,,,10,,55,,,
2022-08-09 20:00:00,,,14,,54,,,
2022-08-10 20:00:00,,,8,,39,,,
2022-08-11 20:00:00,,,9,,33,,,
2022-08-12 20:00:00,,,3,,22,,,
2022-08-13 20:00:00,,,4,,36,,,
2022-08-14 20:00:00,,,7,,43,,,
2022-08-15 20:00:00,,,11,,37,,,
2022-08-16 20:00:00,,,12,,51,,,
2022-08-17 20:00:00,,,19,,56,,,
2022-08-18 20:00:00,,,17,,65,,,
2022-08-19 20:00:00,,,23,,59,,,
2022-08-20 20:00:00,,,10,,35,,,
2022-08-21 20:00:00,,,16,,55,,,
2022-08-22 20:00:00,,,9,,47,,,
2022-08-23 20:00:00,,,20,,59,,,
2022-08-24 20:00:00,,,22,,78,,,
2022-08-25 20:00:00,,,29,,80,,,
2022-08-26 20:00:00,,,29,,75,,,
2022-08-27 20:00:00,,,58,,85,,,
2022-08-28 20:00:00,,,16,,63,,,
2022-08-29 20:00:00,,,9,,45,,,
2022-08-30 20:00:00,,,10,,41,,,
2022-08-31 20:00:00,,,14,,42,,,
2022-09-01 20:00:00,,,13,,40,,,
2022-09-02 20:00:00,,,14,,35,,,
2022-09-03 20:00:00,,,27,,56,,,
2022-09-04 20:00:00,,,23,,59,,,
2022-09-05 20:00:00,,,13,,30,,,
2022-09-06 20:00:00,,,9,,29,,,
2022-09-07 20:00:00,,,12,,45,,,
2022-09-08 20:00:00,,,10,,51,,,
2022-09-09 20:00:00,,,19,,50,,,
2022-09-10 20:00:00,,,21,,51,,,
2022-09-11 20:00:00,,,9,,49,,,
2022-09-12 20:00:00,,,9,,35,,,
2022-09-13 20:00:00,,,12,,36,,,
2022-09-14 20:00:00,,,23,,58,,,
2022-09-15 20:00:00,,,16,,53,,,
2022-09-16 20:00:00,,,20,,80,,,
2022-09-17 20:00:00,,,22,,57,,,
2022-09-18 20:00:00,,,19,,78,,,
2022-09-19 20:00:00,,,20,,63,,,
2022-09-20 20:00:00,,,24,,68,,,
2022-09-21 20:00:00,,,21,,64,,,
2022-09-22 20:00:00,,,8,,6,,,
2022-09-23 20:00:00,,,16,,19,,,
2022-09-24 20:00:00,,,16,,55,,,
2022-09-25 20:00:00,,,9,,38,,,
2022-09-26 20:00:00,,,5,,19,,,
2022-09-27 20:00:00,,,6,,18,,,
2022-09-28 20:00:00,,,9,,20,,,
2022-09-29 20:00:00,,,3,,22,,,
2022-09-30 20:00:00,,,8,,36,,,
2022-10-01 20:00:00,,,12,,21,,,
2022-10-02 20:00:00,,,3,,16,,,
2022-10-03 20:00:00,,,7,,10,,,
2022-10-04 20:00:00,,,5,,10,,,
2022-10-05 20:00:00,,,2,,24,,,
2022-10-06 20:00:00,,,14,,66,,,
2022-10-07 20:00:00,,,5,,20,,,
2022-10-08 20:00:00,,,4,,52,,,
2022-10-09 20:00:00,,,19,,65,,,
2022-10-10 20:00:00,,,23,,61,,,
2022-10-11 20:00:00,,,19,,66,,,
2022-10-12 20:00:00,,,12,,59,,,
2022-10-13 20:00:00,,,17,,45,,,
2022-10-14 20:00:00,,,20,,72,,,
2022-10-15 20:00:00,,,18,,69,,,
2022-10-16 20:00:00,,,8,,55,,,
2022-10-17 20:00:00,,,24,,18,,,
2022-10-18 20:00:00,,,3,,17,,,
2022-10-19 20:00:00,,,3,,26,,,
2022-10-20 20:00:00,,,6,,56,,,
2022-10-21 20:00:00,,,14,,79,,,
2022-10-22 20:00:00,,,14,,72,,,
2022-10-23 20:00:00,,,11,,56,,,
2022-10-24 20:00:00,,,10,,89,,,
2022-10-25 20:00:00,,,7,,58,,,
2022-10-26 20:00:00,,,3,,16,,,
2022-10-27 20:00:00,,,6,,18,,,
2022-10-28 20:00:00,,,5,,30,,,
2022-10-29 20:00:00,,,9,,84,,,
2022-10-30 20:00:00,,,6,,68,,,
2022-10-31 20:00:00,,,11,,72,,,
2022-11-01 20:00:00,,,13,,62,,,
2022-11-02 20:00:00,,,14,,77,,,
2022-11-03 20:00:00,,,6,,63,,,
2022-11-04 20:00:00,,,2,,29,,,
2022-11-05 20:00:00,,,2,,25,,,
2022-11-06 19:00:00,,,5,,29,,,
2022-11-07 19:00:00,,,2,,16,,,
2022-11-08 19:00:00,,,3,,20,,,
2022-11-09 19:00:00,,,6,,46,,,
2022-11-10 19:00:00,,,12,,31,,,
2022-11-11 19:00:00,,,13,,52,,,
2022-11-12 19:00:00,,,22,,27,,,
2022-11-13 19:00:00,,,2,,22,,,
2022-11-14 19:00:00,,,6,,62,,,
2022-11-15 19:00:00,,,22,,64,,,
2022-11-16 19:00:00,,,34,,44,,,
2022-11-17 19:00:00,,,24,,57,,,
2022-11-18 19:00:00,,,27,,49,,,
2022-11-19 19:00:00,,,14,,45,,,
2022-11-20 19:00:00,,,6,,53,,,
2022-11-21 19:00:00,,,9,,57,,,
2022-11-22 19:00:00,,,24,,76,,,
2022-11-23 19:00:00,,,33,,118,,,
2022-11-24 19:00:00,,,20,,71,,,
2022-11-25 19:00:00,,,5,,47,,,
2022-11-26 19:00:00,,,24,,75,,,
2022-11-27 19:00:00,,,16,,39,,,
2022-11-28 19:00:00,,,15,,54,,,
2022-11-29 19:00:00,,,19,,44,,,
2022-11-30 19:00:00,,,6,,25,,,
2022-12-01 19:00:00,,,15,,73,,,
2022-12-02 19:00:00,,,31,,51,,,
2022-12-03 19:00:00,,,6,,53,,,
2022-12-04 19:00:00,,,6,,124,,,
2022-12-05 19:00:00,,,12,,92,,,
2022-12-06 19:00:00,,,16,,93,,,
2022-12-07 19:00:00,,,6,,61,,,
2022-12-08 19:00:00,,,3,,40,,,
2022-12-09 19:00:00,,,24,,63,,,
2022-12-10 19:00:00,,,5,,59,,,
2022-12-11 19:00:00,,,7,,64,,,
2022-12-12 19:00:00,,,2,,45,,,
2022-12-13 19:00:00,,,11,,60,,,
2022-12-14 19:00:00,,,8,,55,,,
2022-12-15 19:00:00,,,3,,22,,,
2022-12-16 19:00:00,,,8,,42,,,
2022-12-17 19:00:00,,,2,,43,,,
2022-12-18 19:00:00,,,9,,39,,,
2022-12-19 19:00:00,,,3,,65,,,
2022-12-20 19:00:00,,,8,,77,,,
2022-12-21 19:00:00,,,15,,66,,,
2022-12-22 19:00:00,,,3,,17,,,
2022-12-23 19:00:00,,,6,,18,,,
2022-12-24 19:00:00,,,22,,64,,,
2022-12-25 19:00:00,,,12,,42,,,
2022-12-26 19:00:00,,,25,,63,,,
2022-12-27 19:00:00,,,19,,74,,,
2022-12-28 19:00:00,,,11,,98,,,
2022-12-29 19:00:00,,,22,,106,,,
2022-12-30 19:00:00,,,17,,80,,,
2022-12-31 19:00:00,,,20,,54,,,
2023-01-01 19:00:00,,,24,,81,,,
2023-01-02 19:00:00,,,35,,74,,,
2023-01-03 19:00:00,,,39,,52,,,
2023-01-04 19:00:00,,,13,,30,,,
2023-01-05 19:00:00,,,5,,29,,,
2023-01-06 19:00:00,,,14,,48,,,
