name,hour,iaqi_value
DC2023-02,0,75.20701754385965
DC2023-02,1,75.37037037037038
DC2023-02,2,74.15185185185186
DC2023-02,3,73.90462962962962
DC2023-02,4,75.37314814814815
DC2023-02,5,76.775
DC2023-02,6,76.91666666666667
DC2023-02,7,78.75092592592593
DC2023-02,8,78.97222222222223
DC2023-02,9,77.19166666666666
DC2023-02,10,79.01203703703703
DC2023-02,11,81.84031701192718
DC2023-02,12,83.03981481481482
DC2023-02,13,82.73703703703704
DC2023-02,14,81.74907407407407
DC2023-02,15,80.66666666666667
DC2023-02,16,81.30555555555556
DC2023-02,17,82.21666666666667
DC2023-02,18,83.33888888888889
DC2023-02,19,83.55681104833647
DC2023-02,20,82.35185185185185
DC2023-02,21,81.25277777777778
DC2023-02,22,78.7074074074074
DC2023-02,23,76.55000000000001
DC2023-12,0,4.872807017543859
DC2023-12,1,4.211111111111111
DC2023-12,2,1.1314814814814815
DC2023-12,3,0.3037037037037037
DC2023-12,4,0.6027777777777777
DC2023-12,5,2.452777777777778
DC2023-12,6,5.027777777777778
DC2023-12,7,3.8814814814814813
DC2023-12,8,9.98425925925926
DC2023-12,9,18.875925925925927
DC2023-12,10,31.174999999999997
DC2023-12,11,37.074074074074076
DC2023-12,12,35.959259259259255
DC2023-12,13,27.48148148148148
DC2023-12,14,23.31851851851852
DC2023-12,15,20.975925925925925
DC2023-12,16,16.830555555555556
DC2023-12,17,2.287962962962963
DC2023-12,18,1.0833333333333333
DC2023-12,19,6.0212962962962955
DC2023-12,20,12.526851851851852
DC2023-12,21,8.375925925925927
DC2023-12,22,10.2
DC2023-12,23,9.519444444444444
DC2023-14,0,61.18235294117647
DC2023-14,1,60.19895833333333
DC2023-14,2,61.69154204054503
DC2023-14,3,57.33235294117647
DC2023-14,4,52.65196078431372
DC2023-14,5,54.8156862745098
DC2023-14,6,53.43541666666667
DC2023-14,7,62.36979166666667
DC2023-14,8,64.31458333333333
DC2023-14,9,63.521875
DC2023-14,10,64.22083333333333
DC2023-14,11,64.26979166666666
DC2023-14,12,61.56666666666666
DC2023-14,13,59.178125
DC2023-14,14,57.43541666666667
DC2023-14,15,57.901041666666664
DC2023-14,16,54.46145833333333
DC2023-14,17,59.895833333333336
DC2023-14,18,58.99270833333333
DC2023-14,19,63.075
DC2023-14,20,60.35729166666667
DC2023-14,21,58.003125
DC2023-14,22,56.515625
DC2023-14,23,53.70625
DC2023-17,0,46.11491228070175
DC2023-17,1,47.137962962962966
DC2023-17,2,36.24814814814815
DC2023-17,3,36.9586315128688
DC2023-17,4,56.15833333333333
DC2023-17,5,69.73055555555555
DC2023-17,6,81.4175925925926
DC2023-17,7,89.59351851851852
DC2023-17,8,90.39259259259259
DC2023-17,9,89.15925925925927
DC2023-17,10,88.31666666666666
DC2023-17,11,88.35185185185186
DC2023-17,12,62.849074074074075
DC2023-17,13,66.19351851851852
DC2023-17,14,68.9462962962963
DC2023-17,15,74.02037037037036
DC2023-17,16,76.73333333333333
DC2023-17,17,73.73055555555555
DC2023-17,18,77.16203703703704
DC2023-17,19,76.53703703703704
DC2023-17,20,72.78388261142499
DC2023-17,21,71.13425925925927
DC2023-17,22,65.33518518518518
DC2023-17,23,57.85740740740741
DC2023-19,0,81.09736842105262
DC2023-19,1,79.28148148148148
DC2023-19,2,76.62037037037038
DC2023-19,3,73.72407407407407
DC2023-19,4,71.38425925925927
DC2023-19,5,73.81759259259259
DC2023-19,6,74.41439108600126
DC2023-19,7,75.3111111111111
DC2023-19,8,75.05185185185185
DC2023-19,9,73.61296296296297
DC2023-19,10,72.83981481481482
DC2023-19,11,75.78518518518518
DC2023-19,12,77.68148148148148
DC2023-19,13,80.17685185185185
DC2023-19,14,82.65555555555555
DC2023-19,15,81.89537037037036
DC2023-19,16,80.13425925925925
