name,dtm,iaqi_value
DC2023-04,2023-11-21 00:00:00,60.2
DC2023-04,2023-11-21 01:00:00,60.45
DC2023-04,2023-11-21 02:00:00,65.75
DC2023-04,2023-11-21 03:00:00,67.86666666666666
DC2023-04,2023-11-21 04:00:00,72.23728813559322
DC2023-04,2023-11-21 05:00:00,74.0
DC2023-04,2023-11-21 06:00:00,75.1
DC2023-04,2023-11-21 07:00:00,76.0
DC2023-04,2023-11-21 08:00:00,76.1
DC2023-04,2023-11-21 09:00:00,77.0
DC2023-04,2023-11-21 10:00:00,77.16666666666667
DC2023-04,2023-11-21 11:00:00,77.15
DC2023-04,2023-11-21 12:00:00,73.15
DC2023-04,2023-11-21 13:00:00,74.46666666666667
DC2023-04,2023-11-21 14:00:00,73.98333333333333
DC2023-04,2023-11-21 15:00:00,75.73333333333333
DC2023-04,2023-11-21 16:00:00,76.7
DC2023-04,2023-11-21 17:00:00,74.51666666666667
DC2023-04,2023-11-21 18:00:00,74.73333333333333
DC2023-04,2023-11-21 19:00:00,74.85
DC2023-04,2023-11-21 20:00:00,75.85
DC2023-04,2023-11-21 21:00:00,74.46666666666667
DC2023-04,2023-11-21 22:00:00,74.41666666666667
DC2023-04,2023-11-21 23:00:00,72.43333333333334
DC2023-04,2023-11-22 00:00:00,73.9
DC2023-04,2023-11-22 01:00:00,74.9
DC2023-04,2023-11-22 02:00:00,75.61666666666666
DC2023-04,2023-11-22 03:00:00,72.58333333333333
DC2023-04,2023-11-22 04:00:00,73.38333333333334
DC2023-04,2023-11-22 05:00:00,74.58333333333333
DC2023-04,2023-11-22 06:00:00,75.36666666666666
DC2023-04,2023-11-22 07:00:00,75.83333333333333
DC2023-04,2023-11-22 08:00:00,76.01666666666667
DC2023-04,2023-11-22 09:00:00,76.05
DC2023-04,2023-11-22 10:00:00,76.86666666666666
DC2023-04,2023-11-22 11:00:00,76.15
DC2023-04,2023-11-22 12:00:00,74.73333333333333
DC2023-04,2023-11-22 13:00:00,74.41666666666667
DC2023-04,2023-11-22 14:00:00,71.05
DC2023-04,2023-11-22 15:00:00,65.5
DC2023-04,2023-11-22 16:00:00,57.63333333333333
DC2023-04,2023-11-22 17:00:00,50.516666666666666
DC2023-04,2023-11-22 18:00:00,39.96666666666667
DC2023-04,2023-11-22 19:00:00,43.3
DC2023-04,2023-11-22 20:00:00,46.3
DC2023-04,2023-11-22 21:00:00,48.11666666666667
DC2023-04,2023-11-22 22:00:00,42.78333333333333
DC2023-04,2023-11-22 23:00:00,35.55
DC2023-04,2023-11-23 00:00:00,34.233333333333334
DC2023-04,2023-11-23 01:00:00,40.78333333333333
DC2023-04,2023-11-23 02:00:00,49.1
DC2023-04,2023-11-23 03:00:00,45.48333333333333
DC2023-04,2023-11-23 04:00:00,48.833333333333336
DC2023-04,2023-11-23 05:00:00,51.75
DC2023-04,2023-11-23 06:00:00,55.05
DC2023-04,2023-11-23 07:00:00,58.28333333333333
DC2023-04,2023-11-23 08:00:00,60.11666666666667
DC2023-04,2023-11-23 09:00:00,61.5
DC2023-04,2023-11-23 10:00:00,64.16666666666667
DC2023-04,2023-11-23 11:00:00,68.18333333333334
DC2023-04,2023-11-23 12:00:00,70.58333333333333
DC2023-04,2023-11-23 13:00:00,70.35
DC2023-04,2023-11-23 14:00:00,61.45
DC2023-04,2023-11-23 15:00:00,62.8
DC2023-04,2023-11-23 16:00:00,62.083333333333336
DC2023-04,2023-11-23 17:00:00,56.61666666666667
DC2023-04,2023-11-23 18:00:00,64.03333333333333
DC2023-04,2023-11-23 19:00:00,57.35
DC2023-04,2023-11-23 20:00:00,70.58333333333333
DC2023-04,2023-11-23 21:00:00,56.65
DC2023-04,2023-11-23 22:00:00,53.85
DC2023-04,2023-11-23 23:00:00,47.55
DC2023-04,2023-11-24 00:00:00,41.13333333333333
DC2023-04,2023-11-24 01:00:00,35.18333333333333
DC2023-04,2023-11-24 02:00:00,53.13333333333333
DC2023-04,2023-11-24 03:00:00,55.266666666666666
DC2023-04,2023-11-24 04:00:00,51.65
DC2023-04,2023-11-24 05:00:00,53.65
DC2023-04,2023-11-24 06:00:00,56.2
DC2023-04,2023-11-24 07:00:00,64.26666666666667
DC2023-04,2023-11-24 08:00:00,67.2
DC2023-04,2023-11-24 09:00:00,68.85
DC2023-04,2023-11-24 10:00:00,70.45
DC2023-04,2023-11-24 11:00:00,73.33333333333333
DC2023-04,2023-11-24 12:00:00,74.45
DC2023-04,2023-11-24 13:00:00,72.45
DC2023-04,2023-11-24 14:00:00,66.6
DC2023-04,2023-11-24 15:00:00,57.93333333333333
DC2023-04,2023-11-24 16:00:00,56.0
DC2023-04,2023-11-24 17:00:00,59.95
DC2023-04,2023-11-24 18:00:00,64.16666666666667
DC2023-04,2023-11-24 19:00:00,70.2542372881356
DC2023-04,2023-11-24 20:00:00,71.63333333333334
DC2023-04,2023-11-24 21:00:00,74.81666666666666
DC2023-04,2023-11-24 22:00:00,77.08333333333333
DC2023-04,2023-11-24 23:00:00,74.55
DC2023-04,2023-11-25 00:00:00,49.21666666666667
DC2023-04,2023-11-25 01:00:00,48.53333333333333
DC2023-04,2023-11-25 02:00:00,50.333333333333336
DC2023-04,2023-11-25 03:00:00,55.16666666666666
DC2023-04,2023-11-25 04:00:00,68.25
DC2023-04,2023-11-25 05:00:00,76.33333333333333
DC2023-04,2023-11-25 06:00:00,78.1
DC2023-04,2023-11-25 07:00:00,79.1
DC2023-04,2023-11-25 08:00:00,80.4
DC2023-04,2023-11-25 09:00:00,81.91666666666667
DC2023-04,2023-11-25 10:00:00,82.03333333333333
DC2023-04,2023-11-25 11:00:00,81.93333333333334
DC2023-04,2023-11-25 12:00:00,80.08333333333333
DC2023-04,2023-11-25 13:00:00,72.98333333333333
DC2023-04,2023-11-25 14:00:00,64.63333333333334
DC2023-04,2023-11-25 15:00:00,62.96666666666667
DC2023-04,2023-11-25 16:00:00,70.66666666666667
DC2023-04,2023-11-25 17:00:00,76.51666666666667
DC2023-04,2023-11-25 18:00:00,78.8
DC2023-04,2023-11-25 19:00:00,82.66666666666667
DC2023-04,2023-11-25 20:00:00,85.58333333333333
DC2023-04,2023-11-25 21:00:00,87.88333333333334
DC2023-04,2023-11-25 22:00:00,89.55
DC2023-04,2023-11-25 23:00:00,90.41666666666669
DC2023-04,2023-11-26 00:00:00,91.1
DC2023-04,2023-11-26 01:00:00,90.7
DC2023-04,2023-11-26 02:00:00,90.11666666666666
DC2023-04,2023-11-26 03:00:00,90.06666666666666
DC2023-04,2023-11-26 04:00:00,89.4
DC2023-04,2023-11-26 05:00:00,89.03333333333333
DC2023-04,2023-11-26 06:00:00,88.61666666666666
DC2023-04,2023-11-26 07:00:00,88.08333333333333
DC2023-04,2023-11-26 08:00:00,87.98333333333333
DC2023-04,2023-11-26 09:00:00,87.5
DC2023-04,2023-11-26 10:00:00,88.0
DC2023-04,2023-11-26 11:00:00,88.0
DC2023-04,2023-11-26 12:00:00,87.45
DC2023-04,2023-11-26 13:00:00,87.03333333333333
DC2023-04,2023-11-26 14:00:00,88.0
DC2023-04,2023-11-26 15:00:00,88.93333333333334
DC2023-04,2023-11-26 16:00:00,89.46666666666667
DC2023-04,2023-11-26 17:00:00,90.4
DC2023-04,2023-11-26 18:00:00,90.93333333333334
DC2023-04,2023-11-26 19:00:00,89.83333333333333
DC2023-04,2023-11-26 20:00:00,90.03333333333333
DC2023-04,2023-11-26 21:00:00,90.9
DC2023-04,2023-11-26 22:00:00,89.6
DC2023-04,2023-11-26 23:00:00,89.1
DC2023-04,2023-11-27 00:00:00,89.0
DC2023-04,2023-11-27 01:00:00,89.0
DC2023-04,2023-11-27 02:00:00,89.0
DC2023-04,2023-11-27 03:00:00,89.0
DC2023-04,2023-11-27 04:00:00,89.0
DC2023-04,2023-11-27 05:00:00,89.4
DC2023-04,2023-11-27 06:00:00,89.7
DC2023-04,2023-11-27 07:00:00,90.01639344262296
DC2023-04,2023-11-27 08:00:00,90.06666666666666
DC2023-04,2023-11-27 09:00:00,90.43333333333334
DC2023-04,2023-11-27 10:00:00,90.46666666666668
DC2023-04,2023-11-27 11:00:00,90.43333333333334
DC2023-04,2023-11-27 12:00:00,89.7
DC2023-04,2023-11-27 13:00:00,87.5
DC2023-04,2023-11-27 14:00:00,87.53333333333333
DC2023-04,2023-11-27 15:00:00,83.41666666666667
DC2023-04,2023-11-27 16:00:00,83.26666666666667
DC2023-04,2023-11-27 17:00:00,83.13333333333334
DC2023-04,2023-11-27 18:00:00,80.4
DC2023-04,2023-11-27 19:00:00,85.68333333333334
DC2023-04,2023-11-27 20:00:00,77.03333333333333
DC2023-04,2023-11-27 21:00:00,78.05
DC2023-04,2023-11-27 22:00:00,50.0
DC2023-04,2023-11-27 23:00:00,38.05
DC2023-04,2023-11-28 00:00:00,42.1
DC2023-04,2023-11-28 01:00:00,57.16666666666666
DC2023-04,2023-11-28 02:00:00,69.78333333333333
DC2023-04,2023-11-28 03:00:00,72.96666666666667
DC2023-04,2023-11-28 04:00:00,81.53333333333333
DC2023-04,2023-11-28 05:00:00,88.26666666666667
DC2023-04,2023-11-28 06:00:00,90.73333333333332
DC2023-04,2023-11-28 07:00:00,92.5
DC2023-04,2023-11-28 08:00:00,93.3
DC2023-04,2023-11-28 09:00:00,93.93333333333334
DC2023-04,2023-11-28 10:00:00,93.75
DC2023-04,2023-11-28 11:00:00,93.0
DC2023-04,2023-11-28 12:00:00,87.4
DC2023-04,2023-11-28 13:00:00,87.65
DC2023-04,2023-11-28 14:00:00,87.15
DC2023-04,2023-11-28 15:00:00,87.53333333333333
