Year,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8
2013,5403,6210,1930,3260,4737,4464,5082,4500
2014,5435,7068,1823,3831,5530,4671,5639,4140
2015,5287,7023,1900,3522,5362,4701,4948,4144
2016,5473,7645,1785,3193,5052,4973,4719,4081
2017,4671,6130,1569,2890,4950,4367,4689,3587
2018,4696,6585,1922,3114,5146,4302,4452,3298
2019,4814,7450,1943,2928,5230,4286,4130,2949
2020,3520,4665,1703,2689,4371,3783,4105,2890
2021,4171,5340,1436,2561,4392,3780,3564,2884
2022,3938,4782,1376,2532,4470,3672,3477,2769
2023,5222,5450,2065,3121,5601,4260,4540,3778
